Period,Provider_Code,Count_Join_Key,Sum_TotalCost,POD,HRG_Episode,TFC,EpType_Code,DATASET
FY2020-21,RHQ,*,119229.5738,EL,HC28H,323,1,PL_APC
FY2020-21,RJ7,*,11572.44789,NEL,HC31H,322,1,PL_APC
FY2020-21,R0A,*,116147.4897,NEL,ED07Z,174,1,PL_APC
FY2020-21,RM3,*,8476.606376,EL,HC64A,108,1,PL_APC
FY2020-21,RBQ,*,4550.688065,EL,EC14A,331,1,PL_APC
FY2020-21,R0A,*,19518.20173,NEL,ED30A,174,1,PL_APC
FY2020-21,RWA,*,2076.761381,NEL,NZ19B,361,1,PL_APC
FY2020-21,RQW,*,1569.812777,NEL,JD07J,180,2,PL_APC
FY2020-21,RHQ,*,66456.56918,EL,HC30D,323,1,PL_APC
FY2020-21,RGT,*,5445.043066,NEL,WH01B,102,2,PL_APC
FY2020-21,RMP,*,693.8198253,NEL,EB10C,300,2,PL_APC
FY2020-21,RCU,*,41995.38361,NEL,HN42A,219,1,PL_APC
FY2020-21,RN5,*,4099.455929,NEL,DZ11K,340,1,PL_APC
FY2020-21,R1H,*,266851.5237,NEL,UZ01Z,170,1,PL_APC
FY2020-21,RP4,*,157697.9591,EL,SA40Z,308,2,PL_APC
FY2020-21,RCB,*,1297.484639,NEL,MB09B,361,1,PL_APC
FY2020-21,RDU,*,1792.865943,NES,DZ11R,410,1,PL_APC
FY2020-21,RWW,*,30665.14646,NEL,FE12A,328,1,PL_APC
FY2020-21,REM,*,2662.189939,NEL,LA04Q,305,1,PL_APC
FY2020-21,R1K,*,14652.28092,NEL,NZ50B,501,1,PL_APC
FY2020-21,RTH,*,3354.922781,NEL,WJ03A,340,1,PL_APC
FY2020-21,RAL,*,32895.83296,EL,GA03C,105,2,PL_APC
FY2020-21,R0A,*,16920.15873,NEL,FD10D,174,2,PL_APC
FY2020-21,RAX,*,7036.705105,NEL,NZ50C,501,2,PL_APC
FY2020-21,RR8,*,34665.12764,EL,UZ01Z,321,2,PL_APC
FY2020-21,R0A,*,10685.87519,NEL,GB05G,174,2,PL_APC
FY2020-21,RTE,*,44.62672916,NEL,PW16C,253,2,PL_APC
FY2020-21,RK9,*,26016.36934,EL,SA25K,308,1,PL_APC
FY2020-21,RTG,*,1713.862611,NES,FE23D,422,1,PL_APC
FY2020-21,R0B,*,8495.102462,NEL,VA10D,301,2,PL_APC
FY2020-21,REM,*,4026.547802,NEL,AA26D,352,2,PL_APC
FY2020-21,RHQ,*,61807.22407,EL,HN14A,323,1,PL_APC
FY2020-21,RHQ,*,15924.57737,EL,UZ01Z,144,2,PL_APC
FY2020-21,RCX,*,7565.285573,NEL,AA35B,329,2,PL_APC
FY2020-21,RX1,*,27490.26217,NEL,FF20A,106,1,PL_APC
FY2020-21,RHM,*,341.167573,NES,CA65Z,422,1,PL_APC
FY2020-21,RXN,*,41480.96713,EL,FF30C,503,2,PL_APC
FY2020-21,RCX,*,1514.891025,NEL,AA35D,329,2,PL_APC
FY2020-21,RYJ,*,2409.74007,NEL,KB01C,361,2,PL_APC
FY2020-21,REM,*,1176.284489,NEL,LA07K,305,2,PL_APC
FY2020-21,RGT,*,182.7482071,NES,AA35D,328,1,PL_APC
FY2020-21,R0A,*,59346.23394,NEL,UZ01Z,174,2,PL_APC
FY2020-21,RH8,*,31071.55966,NEL,DZ11T,300,1,PL_APC
FY2020-21,RCX,*,9169.902423,NEL,AA35F,329,2,PL_APC
FY2020-21,RQ3,*,3987.463528,EL,UZ01Z,280,2,PL_APC
FY2020-21,RJ1,*,3145.2743,NES,NZ42A,501,1,PL_APC
FY2020-21,RJ7,*,18165.96585,NEL,YA03B,150,1,PL_APC
FY2020-21,RYR,*,20877.80358,NEL,HT81C,190,2,PL_APC
FY2020-21,RK9,*,21494.72572,NEL,AA35E,400,1,PL_APC
FY2020-21,RCX,*,4567.936637,NEL,HE11H,329,2,PL_APC
FY2020-21,RBS,*,17350.7279,NELTR,PF28A,251,2,PL_APC
FY2020-21,REM,*,45522.24965,NEL,LA01A,102,2,PL_APC
FY2020-21,RYJ,*,995.8689387,NEL,PB04D,501,2,PL_APC
FY2020-21,RHQ,*,21398.73307,EL,JD07D,323,1,PL_APC
FY2020-21,RWJ,*,4410.509052,NEL,HT81B,110,1,PL_APC
FY2020-21,RRK,*,1788.147998,NES,VA12D,150,1,PL_APC
FY2020-21,RX1,*,8771.889864,NEL,CA83A,120,2,PL_APC
FY2020-21,R0A,*,3196.150822,NEL,PB05A,242,1,PL_APC
FY2020-21,RXL,*,17945.51108,EL,SA26A,308,2,PL_APC
FY2020-21,R0A,*,26543.88245,EL,MA26B,503,2,PL_APC
FY2020-21,RTD,*,1477.82415,NES,EB10C,320,1,PL_APC
FY2020-21,RHM,*,921.8005781,EL,DZ64B,173,1,PL_APC
FY2020-21,RFR,*,1220.349668,NES,NZ32C,501,1,PL_APC
FY2020-21,RAL,*,1882.089042,NES,NZ19B,560,1,PL_APC
FY2020-21,R0A,*,97601.48623,EL,SA39A,308,1,PL_APC
FY2020-21,RTX,*,13020.34012,NEL,DZ22N,410,1,PL_APC
FY2020-21,RA9,*,18010.23644,NEL,DX21A,301,1,PL_APC
FY2020-21,RHQ,*,39746.12023,EL,LB13F,323,1,PL_APC
FY2020-21,R0B,*,620.3524519,NES,YQ26A,107,1,PL_APC
FY2020-21,RTH,*,13519.87768,EL,EY21B,320,1,PL_APC
FY2020-21,RGT,*,1295.938416,NEL,GC17G,306,1,PL_APC
FY2020-21,RA2,*,2120.480275,NEL,DZ11R,301,2,PL_APC
FY2020-21,RBQ,*,2158.741052,NEL,FD10F,331,1,PL_APC
FY2020-21,R0A,*,24891.981,NEL,FD04D,303,2,PL_APC
FY2020-21,RA7,*,2825.211557,NES,JC42D,217,1,PL_APC
FY2020-21,RGT,*,43148.71979,NEL,LA03A,102,1,PL_APC
FY2020-21,RJ7,*,3465.932161,NES,SA31A,322,1,PL_APC
FY2020-21,RPA,*,80.74766546,NEL,PB04C,422,2,PL_APC
FY2020-21,R0A,*,1185.416222,NES,FD03G,100,1,PL_APC
FY2020-21,R0A,*,1087.180732,NES,FD01J,307,1,PL_APC
FY2020-21,RQ3,*,1579.266681,NEL,UZ01Z,105,2,PL_APC
FY2020-21,RP4,*,25186.29493,EL,PE23A,251,1,PL_APC
FY2020-21,RTD,*,10333.06437,EL,GC12G,105,1,PL_APC
FY2020-21,RTX,*,19899.82469,EL,FF33B,104,2,PL_APC
FY2020-21,RWP,*,10771.37146,NEL,AA35A,328,2,PL_APC
FY2020-21,RTH,*,67547.28901,NEL,PF25A,251,2,PL_APC
FY2020-21,RGN,*,737.3180314,NEL,GC18A,300,2,PL_APC
FY2020-21,RN5,*,16926.36689,NEL,DX11A,341,1,PL_APC
FY2020-21,RF4,*,7501.053754,EL,NZ50B,501,2,PL_APC
FY2020-21,RX1,*,1054.890004,NEL,WH09F,410,2,PL_APC
FY2020-21,RGN,*,2030.157952,NES,WH09G,320,1,PL_APC
FY2020-21,RA7,*,10461.70806,NEL,PM45A,308,1,PL_APC
FY2020-21,RR8,*,8705.948472,EL,AA51E,218,1,PL_APC
FY2020-21,RR8,*,2398.60476,NEL,PL38B,259,1,PL_APC
FY2020-21,RA4,*,9562.775901,NES,HN12B,110,1,PL_APC
FY2020-21,RM3,*,866.8927382,NES,AA50C,150,2,PL_APC
